slug,company_name,url,subcategory,funding_stage,hq_country,primary_market,target_icp,nav_top_items,nav_item_count,nav_architecture,nav_aesthetic,nav_sticky_on_scroll,has_pricing_link,primary_cta_copy,primary_cta_type,hero_layout,hero_h1,hero_h1_word_count,hero_says_word_AI,has_subheadline,subhead_word_count,hero_copy_bucket,hero_imagery_type,hero_has_video_or_animation,hero_cta_copy,hero_cta_contextual,nav_cta_matches_hero_cta,has_logo_panel,logo_count_visible,logo_treatment,logos_clickable_to_case_studies,has_testimonials,testimonial_format,has_named_usage_stat,usage_stat_copy,has_g2_or_review_badges,review_platforms,has_compliance_badges,compliance_list,features_layout,feature_count_on_home,has_interactive_demo,has_code_snippet,has_how_it_works_steps,has_before_after,has_use_case_tabs,has_integrations_grid,mentions_competitor_by_name,explains_with,aesthetic_bucket,uses_gradients,background_style,primary_color_hex,palette_hex,dark_mode_support,type_pairing,headline_font_family,body_font_family,h1_size_bucket,icon_style,image_treatment,has_3d_webgl,animation_tech,has_resources_section,resources_dynamic,resources_types,blog_recent_post_date,has_public_changelog,footer_link_columns,footer_links_match_nav,has_dynamic_footer,has_pre_footer_cta_block,has_newsletter_signup,has_status_page_link,copyright_year,has_faq_section,has_announcement_banner,has_chatbot,chatbot_proactive,lead_capture_style,has_email_in_hero,analytics_stack,has_cookie_consent,js_framework_detected,rendering_mode,agent_can_read_hero,js_heavy_blocks_agent,has_llms_txt,has_robots_txt,blocks_gptbot,structured_data_types,has_pricing_page,pricing_is_open,pricing_model,tier_count,annual_monthly_toggle,has_free_tier,has_free_trial,currency_localized,has_feature_comparison,has_roi_calculator,most_popular_tier_highlighted,credit_card_required_for_trial,slug1_url,slug1_type,slug1_layout,slug1_has_video,slug1_word_count_bucket,slug1_has_named_customer_quote,slug2_url,slug2_type,slug2_layout,slug2_has_video,slug2_word_count_bucket,slug2_has_named_customer_quote,content_surface_type,blog_post_volume_bucket,docs_depth,has_search_on_content,mentions_authors,voice_bucket,jargon_density,uses_word_revolutionary,has_manifesto_or_why_page,has_founder_photo_or_signature,mentions_named_personas,tone_consistency,has_share_to_llm_buttons,cms_detected,hosting_detected,has_cdn_in_headers,cookie_count_on_load,total_external_scripts,lighthouse_perf_bucket,primary_conversion_inferred,total_cta_count_on_home,cta_consistency,social_signin_options,form_field_count_if_form,confidence_overall,missing_data_count,screenshots_captured,most_distinctive_design_choice,most_questionable_design_choice,something_unique_not_seen_elsewhere,one_line_site_summary,surprise_note
reevo-ai,Reevo,https://reevo.ai,sales-enablement,series-c,us,global,pm,"[""See why"", ""PRICING"", ""TOUR"", ""Log in"", ""Get started""]",5,product-led,traditional-bar,,True,Get started,sign-up,1col-centered,ONE PLATFORM. FROM FIRST TOUCH TO CLOSED WON.,8,False,True,4,benefit-first,video,True,PRODUCTS,True,,True,6,grayscale-static,,True,video,,,False,[],True,"[""SOC2"", ""ISO27001""]",cards-grid,12,True,False,True,False,True,False,False,mixed,corporate-clean,False,solid,#000000,"[""#000000"", ""#ffffff"", ""#f3e9ff""]",False,all-serif,Metrify,Haltung,96+,outline,photo,False,unknown,True,,"[""blog""]",,False,4,,,True,False,False,0,False,False,False,,inline-form,False,"[""GA4"", ""Segment"", ""Posthog""]",True,next,spa,False,True,False,True,False,"[""Organization""]",True,True,tier,2,False,False,False,False,True,False,False,,https://reevo.ai/blog/future-revenue-stackless,other,long-scroll,False,1000-3000,,https://reevo.ai/product-tour,product,long-scroll,True,<300,,blog,50+,basic,False,True,authoritative,medium,False,True,False,False,consistent,False,sanity,vercel,True,6,25,unknown,sign-up,8,consistent,[],0,high,18,5,Bold all-caps headline with extreme contrast and massive font hierarchy dominates entire hero section,Pink banner at top feels disconnected from core black/white palette and dilutes cohesion,Sales enablement platform positioning full workflow (Find→Connect→Sell→Manage) as unified OS rather than point solution,"Unified revenue operating system consolidating prospecting, outreach, and pipeline management into single platform.",
lutra-ai,Lutra AI,https://lutra.ai,ops-automation,seed,us,global,ops,"[""Use cases"", ""Integrations"", ""MCP"", ""Pricing"", ""Enterprise""]",5,use-case-led,traditional-bar,,True,Log In,login,1col-centered,What would you like to automate today?,7,False,True,11,benefit-first,video,True,Log In,False,,False,0,none,,True,video,,,False,[],True,"[""SOC2""]",cards-grid,6,True,False,False,False,True,True,False,mixed,corporate-clean,True,gradient,#008f99,"[""#008f99"", ""#b3e931"", ""#ffffff"", ""#1a4f5e""]",False,all-serif,__Plus_Jakarta_Sans_646807,__Inter_f367f3,64-96,filled,product-ui,False,unknown,False,,[],,False,0,,,False,False,False,0,True,False,False,,inline-form,False,"[""GA4""]",False,next,spa,False,True,False,False,False,[],True,True,tier,6,True,True,True,False,True,False,True,,https://lutra.ai/playbooks,book-demo,long-scroll,False,1000-3000,,https://lutra.ai/#home-integrations,other,long-scroll,True,300-1000,,blog,0-10,basic,False,False,corporate,medium,False,False,False,True,consistent,False,webflow,vercel,True,5,59,unknown,self-sign-up,7,mixed,"[""Microsoft""]",0,high,19,5,Inline chat input with app integration icons in hero; lime-green accent on key words draws attention,"Primary CTA is 'Log In' in hero, not conversion-focused for new visitors; 'Start for free' buried in input field",Productivity agent positioning with embedded inline chat interface for task automation directly in hero,AI productivity agent that automates work by connecting enterprise apps via integrations and natural language.,
relay-app,Relay.app,https://relay.app,ops-automation,seed,us,global,unknown,"[""Pricing"", ""Log in"", ""Start for free""]",3,product-led,traditional-bar,,True,Start for free,self-sign-up,1col-centered,The easiest way to automate with AI,7,True,True,18,benefit-first,video,True,,,,False,0,none,,True,tweet-embed,,,True,"[""G2"", ""ProductHunt""]",True,"[""SOC2"", ""CCPA"", ""PCI""]",cards-grid,5,False,False,True,False,True,True,False,mixed,tech-minimal,True,gradient,#4461ff,"[""#4461ff"", ""#e8eaff"", ""#ffffff""]",False,all-serif,Onest,sans-serif,64-96,custom-illustrated,abstract-art,False,unknown,True,,"[""blog""]",,False,0,,,False,False,True,0,True,False,False,,inline-form,False,[],False,webflow,ssr,True,False,False,True,False,[],True,True,tier,6,True,True,True,False,False,False,True,,https://run.relay.app/login?csrc=landing_sign_in,other,long-scroll,False,<300,,https://run.relay.app/signup?csrc=landing_top_nav,other,long-scroll,False,<300,,blog,10-50,basic,False,True,playful,low,False,False,False,True,consistent,False,webflow,vercel,True,0,3,unknown,self-sign-up,0,consistent,"[""SSO""]",0,medium,21,5,Colorful illustrated workflow cards with named user personas below hero showcasing real use cases,Heavy reliance on abstract illustrations may obscure actual product functionality for new visitors,"Named personas with specific workflow examples (Annika, Jacob) directly in hero section creating immediate relatability","AI automation platform converting natural language to visual workflows across 200+ apps with playful, persona-driven design",
artisan-co,Artisan AI,https://artisan.co,sales-enablement,series-a,us,us,ops,"[""Product"", ""Solutions"", ""Resources"", ""Get a demo"", ""Get a demo""]",5,product-led,traditional-bar,,False,Get early access,wait-list,1col-centered,Hire Ava The autonomous AI BDR,6,True,True,26,benefit-first,collage,False,Get early access,True,,False,0,none,,True,video,,,False,[],True,"[""SOC2""]",alternating,4,False,False,True,False,False,False,False,mixed,corporate-clean,True,gradient,#4c12a1,"[""#4c12a1"", ""#b19cd9"", ""#ffffff""]",False,unknown,intrinseca,ui-sans-serif,64-96,outline,product-ui,False,unknown,True,,[],,False,0,,,True,False,False,0,False,False,False,,wait-list,False,[],True,next,spa,False,True,True,True,False,[],True,True,usage-based,1,True,True,True,False,True,False,True,,,other,long-scroll,,unknown,,,other,long-scroll,,unknown,,blog,50+,basic,False,True,authoritative,medium,False,False,False,True,consistent,False,custom,vercel,True,0,25,unknown,wait-list,26,consistent,[],0,medium,27,5,Purple gradient background with AI agent avatar (Ava) as centerpiece in product demo section,Product UI screenshot as main hero visual may obscure key value prop for new visitors unfamiliar with BDR workflows,Named AI agent personality (Ava) with human avatar driving the narrative; autonomous workflow positioning vs. traditional tool messaging,"AI-powered autonomous BDR platform that automates lead generation, outreach, and meeting booking at enterprise scale.",Highly personified AI agent approach unusual for B2B enterprise—blurs line between tool and team member positioning
fibr-ai,Fibr AI,https://fibr.ai,marketing-ops,seed,us,global,pm,"[""Fibr AI launches Agentic Personalization for Ads & LLM Visitors \n\nRead More"", ""Pricing"", ""Get a Demo""]",3,product-led,traditional-bar,,True,Get a Demo,book-demo,1col-centered,"Adaptive AI Web Experiences, crafted for each consumer’s story",9,True,True,17,benefit-first,video,True,Get a Demo,True,,False,0,none,,True,tweet-embed,,,False,[],True,"[""SOC2"", ""GDPR"", ""ISO27001"", ""CCPA"", ""PCI""]",cards-grid,3,True,False,False,False,False,False,False,mixed,corporate-clean,False,patterned,#ff6633,"[""#ff6633"", ""#1a3a36"", ""#ffffff"", ""#000000""]",False,all-serif,Inter Display,sans-serif,40-64,custom-illustrated,product-ui,False,unknown,False,,[],,False,0,,,False,False,False,0,True,False,False,,book-demo-only,False,"[""GA4""]",False,webflow,spa,False,True,True,True,False,[],True,True,tier,2,False,True,False,False,False,False,False,,https://fibr.ai/./agentic-web-personalization-ads-llm,other,long-scroll,True,1000-3000,,,other,long-scroll,,unknown,,blog,0-10,basic,False,True,corporate,high,False,False,False,False,consistent,False,webflow,unknown,False,9,23,unknown,book-demo,1,consistent,[],0,medium,23,5,Agentic execution framework with human oversight positioning and dark teal accent color.,"Heavy jargon density ('agentic', 'intent sensing', 'reshaping') may obscure value prop for non-technical personas.",Explicit emphasis on 'agentic execution with human-in-the-loop' as a trust differentiator for AI personalization.,Fibr AI offers adaptive web experiences powered by AI agents that personalize URLs in real-time for each visitor.,Deterministic hints indicate primary_color_hex as #0000ee (blue) but hero screenshot shows orange (#ff6633) as dominant brand accent. Used screenshot value per deferral rules.
getkoala-com,Koala,https://getkoala.com,sales-enablement,series-a,us,us,pm,"[""Customers"", ""Blog"", ""Docs"", ""Pricing"", ""Log in"", ""Get Started""]",6,product-led,traditional-bar,,True,Get Started,sign-up,1col-centered,Scale your winning sales plays,5,False,True,24,benefit-first,video,True,Login,True,,False,2,none,,True,video,,,True,"[""G2""]",True,"[""SOC2""]",cards-grid,6,True,False,True,False,True,True,False,mixed,corporate-clean,True,gradient,#ff6b35,"[""#5051f0"", ""#ff6b35"", ""#ffffff""]",False,all-serif,Satoshi,Satoshi,40-64,custom-illustrated,product-ui,False,unknown,True,,"[""blog"", ""ebooks"", ""webinar""]",,False,0,,,True,False,True,2026,False,False,False,,inline-form,False,"[""GA4""]",False,next,ssr,True,False,False,True,False,[],True,True,usage-based,0,True,True,False,False,False,True,False,,https://getkoala.com/customers,customers,long-scroll,False,300-1000,,https://getkoala.com/blog,other,long-scroll,True,<300,,blog,0-10,basic,False,True,corporate,medium,False,False,False,True,consistent,False,sanity,cloudflare,True,4,23,unknown,self-sign-up,3,consistent,[],0,high,17,5,Bold purple gradient hero with energetic orange accent CTAs and lightning bolt emoji,Prominent acquisition/shutdown banner at top may deter engagement given company wind-down,Agentic AI positioning for sales rep enablement with emphasis on signal prioritization vs. automation,AI-powered sales enablement platform helping reps prioritize leads and maintain engagement through contact lifecycle.,Site remains active despite Sept 30 acquisition/shutdown notice—tension between growth messaging and discontinuation
coframe-ai,Coframe,https://coframe.ai,marketing-ops,seed,us,global,marketer,"[""Copy Optimization\nWords that convert"", ""Segmentation and Personalization\nOptimize for every audience"", ""UI Code Generation\nSupercharge your UI"", ""Blog\nBehind the optimization"", ""Docs\nYour toolkit for growth"", ""Careers"", ""Contact""]",7,use-case-led,traditional-bar,,False,Get a demo,book-demo,2col,"Coframe creates and tests variations of your website, improving 24/7.",10,False,True,8,benefit-first,collage,False,,,,True,39,grayscale-static,,True,video,,,True,"[""ProductHunt""]",True,"[""SOC2""]",none,0,True,False,False,True,False,False,False,product-ui,corporate-clean,False,solid,#0000ee,"[""#2a2451"", ""#ffffff"", ""#4caf50"", ""#0000ee""]",True,all-serif,NB International Pro,NB International Pro,40-64,none,product-ui,False,unknown,True,,"[""blog""]",,False,0,,,False,False,False,0,False,False,False,,book-demo-only,False,"[""GA4"", ""Segment"", ""Amplitude""]",False,webflow,spa,False,True,True,True,False,[],True,True,usage-based,1,False,False,False,False,False,True,False,,https://app.coframe.com/start,other,long-scroll,False,<300,,https://coframe.ai/post/segmentation-personalization,other,long-scroll,False,300-1000,,blog,0-10,basic,False,True,authoritative,medium,False,False,False,False,consistent,True,webflow,cloudflare,True,0,19,unknown,book-demo,0,consistent,[],0,medium,20,5,Dark navy background with contrasting white card showing live product metrics and variation testing interface,Hero CTA uses placeholder input field design which may confuse conversion intent,Live metrics dashboard displayed as primary hero visual demonstrating real-time optimization results,AI-powered website optimization platform that continuously creates and tests variations to improve conversions.,
www-alex-com,Alex,https://www.alex.com/,ops-automation,series-a,us,global,ops,"[""AI InterviewsConduct interviews on autopilot"", ""CoordinatorAutomate scheduling and handoffs"", ""VerifyPrevent fraud and cheating"", ""Talent MatchRediscover your ATS talent"", ""Resume ScreensMove faster with intelligent resume analysis"", ""VideoScale the most valuable step in your interview"", ""PhoneLet Alex call thousands of candidates instantly"", ""SMSEngage candidates with intelligent text conversations"", ""WhatsAppConduct seamless interviews with your global candidates"", ""Featured storyA Conversation About People, Culture & AI in Franchisee Selection""]",10,product-led,traditional-bar,,False,Request a demo,book-demo,1col-centered,Your AI Recruiter to,4,True,True,13,benefit-first,video,True,Request a demo,True,,False,1,none,,True,video,,,True,"[""G2""]",False,[],none,0,False,False,False,False,False,False,False,video,corporate-clean,False,solid,#082900,"[""#082900"", ""#ffffff"", ""#000000""]",False,all-serif,DM Sans,DM Sans,<40px,none,raw-screenshot,False,gsap,True,,"[""blog"", ""case-studies""]",,False,0,,,False,False,False,2026,True,False,False,,book-demo-only,False,"[""GA4""]",False,webflow,ssr,True,False,True,True,True,[],True,True,usage-based,0,False,False,False,False,False,False,False,,https://www.alex.com/product/ai-interviews,product,long-scroll,False,300-1000,,https://www.alex.com/product/coordinator,product,long-scroll,False,300-1000,,blog,50+,basic,True,True,authoritative,low,False,False,False,False,consistent,False,webflow,cloudflare,True,5,42,unknown,book-demo,0,consistent,[],0,high,18,5,Minimalist typographic hero with forest-green brand color; dark header banner with funding announcement,No visible feature cards or product benefits below hero; relies entirely on CTA to drive engagement,"Hero emphasizes recruiting outcomes (interview everyone, hire best) paired with human-connection messaging rather than AI capability showcase","AI recruiter platform automating screening, interviews and candidate engagement across multiple channels for hiring teams.",
www-withlexi-com,Lexi,https://www.withlexi.com/,ops-automation,seed,us,us,unknown,"[""SOLUTION"", ""CASE STUDY"", ""ABOUT US"", ""MEDIA"", ""BOOK A DEMO""]",5,audience-led,traditional-bar,,False,CONTACT US,contact-sales,asymmetric,Care in ‍any language,4,False,True,21,benefit-first,collage,False,CONTACT US,True,,True,45,grayscale-static,,True,video,,,False,[],True,"[""SOC2"", ""HIPAA""]",none,0,False,False,False,False,False,False,False,photo,corporate-clean,True,gradient,#3420b8,"[""#3420b8"", ""#5dbe9a"", ""#ffffff""]",False,all-serif,Fraunces Variablefont Soft Wonk Opsz Wght,Arial,64-96,none,photo,False,gsap,False,,[],,False,0,,,False,False,True,0,False,False,False,,book-demo-only,False,[],False,webflow,spa,False,True,False,True,False,"[""SoftwareApplication""]",False,False,talk-to-us,0,False,False,False,False,False,False,False,,,other,long-scroll,,unknown,,,other,long-scroll,,unknown,,blog,0-10,basic,False,False,corporate,medium,False,False,False,False,consistent,False,webflow,cloudflare,True,1,11,unknown,contact-sales,0,consistent,[],0,medium,25,4,Multilingual greeting phrases integrated into hero photography layout showing diverse patient faces,H1 text split across two lines with inconsistent color treatment (blue/green) reducing clarity,Healthcare AI positioning centered on multilingual patient care with anthropomorphic conversation bubbles in hero,Enterprise healthcare AI interpreter enabling multilingual patient conversations across the care journey.,Prominent $1.4M pre-seed funding banner top-of-page unusual for B2B SaaS homepage real estate
distyl-ai,Distyl AI,https://distyl.ai,ops-automation,series-b,us,global,exec,"[""ABOUT"", ""CASE STUDIES"", ""PLATFORM"", ""RESEARCH"", ""BLOG"", ""CAREERS""]",6,audience-led,traditional-bar,,False,,unknown,2col,Rearchitecting Entire Industries For Frontier Technologies,6,False,True,25,visionary,collage,False,,,,True,29,grayscale-static,,True,tweet-embed,,,False,[],True,"[""GDPR"", ""CCPA""]",none,0,False,False,False,False,False,True,False,text-only,tech-minimal,True,gradient,#ffffff,"[""#2a2845"", ""#ffffff"", ""#4a5bff""]",False,all-serif,AlliancePlatt,Inter,64-96,none,abstract-art,True,gsap,True,,"[""case-studies"", ""blog"", ""research""]",,False,1,,,False,False,False,2026,False,False,False,,none,False,"[""GA4""]",False,wordpress,spa,False,True,False,True,False,[],False,False,talk-to-us,0,False,False,False,False,False,False,False,,https://distyl.ai/distiller/,other,long-scroll,False,300-1000,,https://distyl.ai/case-studies/,customers,long-scroll,False,<300,,blog,0-10,basic,False,True,authoritative,high,False,False,False,False,consistent,False,wordpress,unknown,False,3,17,unknown,contact-sales,3,scattered,[],0,medium,22,4,Deep navy gradient background with abstract data visualization and white sans-serif typography creating premium tech aesthetic,"Prominent cookie consent modal overlays hero content, partially obscuring key messaging and reducing hero impact",Positioning around 'Rearchitecting Industries' for frontier tech with explicit focus on human agency + AI integration,Enterprise AI operations platform helping institutions rearchitect systems for frontier technologies while preserving human agency,No visible primary CTA button in hero; relies on brand recognition and institutional credibility via investor/partner logos
ragas-io,Ragas,https://ragas.io,dev-tools,seed,us,global,developer,"[""Docs"", ""Blog"", ""Github"", ""Community"", ""Careers\n3"", ""Contact Us""]",6,product-led,floating-pill,,False,Contact Us,contact-sales,asymmetric,ragas,1,False,True,6,feature-list,typography-only,False,talk to founders,True,,False,0,none,,True,tweet-embed,,,False,[],True,"[""PCI""]",list,3,False,False,False,False,False,False,False,code,terminal-hacker,False,patterned,#d4a135,"[""#d4a135"", ""#ffffff"", ""#000000"", ""#4a4a4a""]",False,unknown,__Tenor_Sans_d4b61f,Satoshi-Variable,96+,custom-illustrated,abstract-art,False,unknown,True,,"[""blog"", ""case-studies""]",,False,0,,,False,False,True,0,True,False,False,,none,False,[],False,next,ssr,True,False,False,False,False,[],False,False,talk-to-us,0,False,False,False,False,False,False,False,,https://docs.ragas.io/,other,long-scroll,False,300-1000,,https://blog.ragas.io/,other,long-scroll,False,<300,,blog,0-10,basic,False,False,founder-voice,high,False,False,False,False,consistent,False,custom,vercel,True,0,9,unknown,contact-sales,13,consistent,[],0,medium,21,4,Geometric network diagram overlay with gold connecting lines creating visual hierarchy for LLM architecture concepts,High jargon density without explanation may alienate non-ML developers; terminal-style hero layout risks appearing niche,Network topology visualization as decorative hero element communicating LLM application complexity without explanation,Ragas is an LLM evaluation framework targeting developers with automated metrics and synthetic data generation for production apps.,
orbitshift-ai,OrbitShift,https://orbitshift.ai/,sales-enablement,seed,india,global,exec,"[""Customers"", ""Resources"", ""Pricing""]",3,audience-led,traditional-bar,,True,Request a Demo,book-demo,1col-centered,System of works for account based sales teams,8,False,True,20,benefit-first,collage,False,Products,True,,True,32,grayscale-static,,True,video,,,True,"[""Gartner""]",True,"[""SOC2"", ""GDPR"", ""ISO27001""]",none,0,False,False,False,False,False,False,False,mixed,corporate-clean,True,gradient,#7c3aed,"[""#7c3aed"", ""#ffffff"", ""#1a1a1a"", ""#ffa500""]",False,sans-sans,Funnel Display,Inter,40-64,custom-illustrated,abstract-art,False,unknown,True,,"[""blog"", ""webinar"", ""report""]",,False,0,,,True,False,False,0,False,False,False,,book-demo-only,False,[],False,next,ssr,True,False,False,True,False,[],True,True,tier,4,True,True,True,False,False,False,False,,https://orbitshift.ai/customers,customers,long-scroll,False,300-1000,,https://orbitshift.ai/resources,other,long-scroll,False,300-1000,,blog,0-10,basic,False,True,corporate,medium,False,False,False,False,consistent,False,sanity,aws,True,0,15,unknown,book-demo,19,consistent,[],0,high,19,5,"Purple gradient hero with curved abstract shapes creating premium, tech-forward aesthetic while maintaining clarity",Privacy popup overlay obscures critical content and customer logos during initial view,Multi-agent orchestration positioning combined with 'revenue agents' language differentiates from traditional sales-enablement narrative,Enterprise sales platform positioning AI-driven account orchestration for ABM teams with consistent demo-first conversion model.,
superagi-com,SuperAGI,https://superagi.com,agent-platforms,series-a,us,global,developer,"[""I Assistant"", ""Add Apps""]",2,product-led,minimal,,False,Sign up for free,sign-up,1col-centered,Get Work done with SuperAGI,5,False,True,10,benefit-first,collage,False,Sign up for free,True,,False,0,none,,True,anonymous-quote,,,False,[],False,[],cards-grid,8,True,False,False,False,False,False,False,text-only,tech-minimal,False,solid,#131315,"[""#131315"", ""#ffffff"", ""#f5f5f5""]",False,all-serif,Proxima Nova,ui-sans-serif,<40px,custom-illustrated,none,False,unknown,False,,[],,False,0,,,False,False,False,2026,False,False,True,,inline-form,False,"[""GA4""]",False,custom-react,ssr,True,False,True,True,False,[],True,False,usage-based,1,False,True,True,True,False,True,True,,https://superagi.com/,other,long-scroll,False,300-1000,,https://superagi.com/market,other,long-scroll,False,300-1000,,none,unknown,none,,,corporate,medium,False,False,False,False,consistent,False,unknown,aws,True,11,17,unknown,self-sign-up,45,consistent,[],0,medium,24,5,Conversational AI input field as primary hero CTA with non-human expert chatbot option,Hybrid human/AI expert messaging might confuse enterprise buyers about support model,Dual expert system offering (human + AI agent) for customer engagement and demos,Platform for deploying 50+ AI-native apps and agents with a freemium conversational onboarding model,Non-Human AI SuperAGI Expert positioned as legitimate alternative to human expert calls
kombai-com,Kombai,https://kombai.com,design-tooling,seed,india,global,developer,"[""Features"", ""Pricing"", ""Docs"", ""Changelog"", ""Support""]",5,product-led,traditional-bar,,True,Get Started,sign-up,1col-centered,The AI Agent Built for Frontend,6,True,True,27,benefit-first,collage,False,Sign In,True,,False,0,none,,True,video,,,True,"[""ProductHunt""]",True,"[""SOC2""]",cards-grid,3,False,False,False,False,False,True,False,mixed,tech-minimal,False,solid,#48de94,"[""#48de94"", ""#ffffff"", ""#000000"", ""#3a3a3a""]",False,sans-sans,Manrope,Manrope,64-96,custom-illustrated,abstract-art,False,unknown,True,,"[""blog"", ""docs""]",,True,2,,,False,False,True,0,False,False,False,,book-demo-only,False,"[""GA4"", ""HubSpot"", ""Posthog""]",False,next,ssr,True,False,True,True,False,"[""Organization"", ""SoftwareApplication"", ""WebSite""]",True,True,tier,6,True,True,False,False,False,False,False,,https://kombai.com/features/,features,long-scroll,True,300-1000,,https://docs.kombai.com/,other,long-scroll,False,300-1000,,blog,10-50,basic,False,True,authoritative,medium,False,False,False,False,consistent,False,sanity,vercel,True,7,40,unknown,self-sign-up,9,consistent,[],0,high,17,5,Neon mint green accent on pure black with minimal typography hierarchy creates bold tech-forward aesthetic,Three feature cards below hero lack visual differentiation or interaction hints; unclear if scrollable or static,AI-first frontend tooling positioned explicitly for browser-based development with 400+ framework support callout,"AI agent for frontend developers combining specialized skills, deep browser access, and repository understanding.",
www-latentforce-ai,LatentForce,https://www.latentforce.ai/,coding-agents,seed,india,global,developer,"[""BLOG"", ""TRY NOW"", ""Blog"", ""Try Now""]",4,product-led,traditional-bar,,False,GET EARLY ACCESS,contact-sales,1col-centered,Make Your Codebase Agent-Ready.,4,False,True,17,benefit-first,big-image,False,Standard,True,,True,24,grayscale-static,,False,none,,,False,[],False,[],cards-grid,3,False,False,True,False,False,False,False,text-only,tech-minimal,False,solid,#ff6b35,"[""#ff6b35"", ""#ffffff"", ""#1a1a1a"", ""#666666""]",False,all-serif,Fraunces,-apple-system,96+,none,none,False,unknown,True,,"[""blog""]",,False,0,,,False,False,False,2026,False,False,False,,book-demo-only,False,[],False,unknown,spa,False,True,True,True,False,[],True,True,usage-based,0,False,False,False,False,False,False,False,,https://blogs.latentforce.ai,other,long-scroll,False,<300,,https://try.latentforce.ai/,other,long-scroll,False,<300,,blog,0-10,basic,False,True,authoritative,medium,False,False,False,False,consistent,False,unknown,unknown,False,0,1,unknown,contact-sales,23,consistent,[],0,medium,24,5,"Monochrome dark background with large serif italic headline, bold orange accent color for key words and CTAs creating stark contrast.",No hero image or visual demo; purely text-based value prop may not immediately communicate product functionality to first-time visitors.,Context Graph framing for AI agents; positioned as infrastructure layer enabling agents to understand codebases before modification.,LatentForce enables AI coding agents to understand and modify codebases safely via a persistent context layer.,
inferless-com,Inferless,https://inferless.com,data-infra,seed,india,global,developer,"[""Pricing"", ""Product"", ""Documentation"", ""Blog"", ""Link Five"", ""Link Six"", ""Link Seven"", ""Sign in""]",8,product-led,traditional-bar,,True,Deploy now,start-free-trial,2col,,0,,True,11,benefit-first,collage,False,Deploy now,True,,True,17,grayscale-static,,True,tweet-embed,,,False,[],False,[],list,4,False,False,False,False,False,False,False,isometric,tech-minimal,False,solid,#c6ff00,"[""#00480b"", ""#c6ff00"", ""#ffffff""]",False,all-serif,Karelia,Maisonneue book,64-96,custom-illustrated,isometric,False,gsap,True,,"[""blog"", ""documentation""]",,False,0,,,False,False,False,0,False,False,False,,book-demo-only,False,"[""GA4"", ""Posthog""]",False,webflow,unknown,False,False,False,True,False,"[""BreadcrumbList"", ""Organization""]",True,True,tier,6,False,True,True,False,True,False,True,,https://inferless.com/serverless-gpu,other,long-scroll,False,300-1000,,http://docs.inferless.com/,other,long-scroll,False,<300,,blog,10-50,basic,False,True,corporate,high,False,False,False,False,consistent,False,webflow,cloudflare,True,1,18,unknown,self-sign-up,13,consistent,[],0,medium,21,5,Lime-green accent on deep forest green creates striking contrast; isometric 3D infrastructure diagram communicates complexity simply,"Heavy jargon ('serverless GPUs', 'ML models') may alienate non-technical buyers; award badges above fold compete with hero message",Isometric infrastructure visualization with animated connection nodes suggests real-time deployment flow without animation,Serverless GPU infrastructure platform for ML model deployment with effortless scaling,
